Datetime,Value,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
6/3/2023,Min,17.8,0,0,0,0,0,44
6/3/2023,Max,41.13,87,315,506.94,80.01,1011.6,544
6/3/2023,25%,19.44,24,270,0,0,9.7,55
6/3/2023,50%,20.56,43.5,270,0,0,1008,65
6/3/2023,75%,34.44,81,270,1.61,0,1009.3,153
6/3/2023,IQR,15,57,0,1.61,0,999.6,98
7/3/2023,Mean,25.72783872,46.48908161,244.5599093,0.321576677,0.005027354,678.8539721,117.2280936
7/3/2023,std,8.03143482,35.18768935,78.32845977,2.993819434,0.079748029,467.9269074,93.54145187
7/3/2023,Min,18.33,0,0,0,0,0,47
7/3/2023,Max,41.67,87,315,434.52,1.27,1008.7,488
7/3/2023,25%,20.56,0,270,0,0,6.9,56
7/3/2023,50%,21.11,58,270,0,0,1003.5,75
7/3/2023,75%,30,82,270,0,0,1006.3,137
7/3/2023,IQR,9.44,82,0,0,0,999.4,81
8/3/2023,Mean,25.65293278,36.5119076,216.1154947,19.26720384,0.040278355,606.6486032,173.4641068
8/3/2023,std,7.987144189,35.01319663,101.2277651,74.06013124,0.20770637,490.9599961,137.1951194
8/3/2023,Min,18.89,0,0,0,0,0,53
8/3/2023,Max,42.78,88,315,434.52,17.78,1008.5,597
8/3/2023,25%,20.56,0,225,0,0,0.7,80
8/3/2023,50%,20.56,28,270,0,0,1002.3,100
8/3/2023,75%,31.67,78,270,1.61,0,1006.2,231
8/3/2023,IQR,11.11,78,45,1.61,0,1005.5,151
9/3/2023,Mean,30.45519695,39.91820064,225.531709,12.43360422,1.959327515,709.6848943,151.8551487
9/3/2023,std,9.358980497,30.95445683,96.16109599,57.36290479,6.848124805,456.5908679,113.5656836
9/3/2023,Min,19.44,0,0,0,0,0,49
9/3/2023,Max,43.89,87,315,434.52,68.58,1006.7,490
9/3/2023,25%,20.56,22,270,0,0,0,61
9/3/2023,50%,28.33,31,270,0,0,1002.2,103
9/3/2023,75%,40,75,270,1.61,0,1004.4,239
9/3/2023,IQR,19.44,53,0,1.61,0,1004.4,178
10/3/2023,Mean,28.34366607,43.3078449,209.848368,28.78170166,0.651409321,680.9511941,118.6784164
10/3/2023,std,7.6996337,34.35097715,108.6566917,105.4678612,3.606168155,467.9673415,82.34164304
10/3/2023,Min,20.56,0,0,0,0,0,50
10/3/2023,Max,43.33,88,315,434.52,68.58,1006.7,414
10/3/2023,25%,21.67,0,225,0,0,3.2,63
10/3/2023,50%,26.11,41,270,0,0,1001.5,80
10/3/2023,75%,35.56,81,270,1.61,0,1004.4,152
10/3/2023,IQR,13.89,81,45,1.61,0,1001.2,89
11/3/2023,Mean,31.44124779,45.90239255,164.0376306,13.67272217,0.563199449,730.3491388,105.0679139
11/3/2023,std,6.789507649,30.3765095,105.5117119,54.7201985,3.202125103,445.8438518,66.32069127
11/3/2023,Min,23.33,0,0,0,0,0,50
11/3/2023,Max,43.33,88,315,506.94,26.67,1005.8,389
11/3/2023,25%,25.56,32,90,0,0,5.9,69
11/3/2023,50%,30.56,48,135,0,0,1001.9,81
11/3/2023,75%,37.22,77,270,1.61,0,1003.8,105
11/3/2023,IQR,11.66,45,180,1.61,0,997.9,36
12/3/2023,Mean,31.00042125,44.52921639,218.4957475,0.584858417,1.081367157,703.8347515,65.30789831
12/3/2023,std,5.943916211,32.15364943,98.17295668,1.048088038,4.142057666,457.9943425,21.11032589
12/3/2023,Min,21.11,0,0,0,0,0,41.67
12/3/2023,Max,43.89,88,315,4.83,22.86,1005.6,146
12/3/2023,25%,26.11,6,270,0,0,7.8,53
12/3/2023,50%,29.44,44,270,0,0,1002.9,57
12/3/2023,75%,35.56,75,270,1.61,0,1003.8,68
12/3/2023,IQR,9.45,69,0,1.61,0,996,15
